what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331736074921
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1331736082171
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331736082453
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331736093328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331736129859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331736130796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331736133765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331737918062
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331737926859
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331737929156
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331737935921
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331737935984
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331737943750
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331737951140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331737972125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331738975875
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331738987015
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331738988390
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1331739011718
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331739011843
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331739011890
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1331739022250
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331739117125
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331739127859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739133406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739204453
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331739212359
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331739345796
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1331739376484
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1331739400281
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1331739411921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739418140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739420031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739420093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739423125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739424062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739427140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739430156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331739432609
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331739453437
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331739456609
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1331739459328
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1331739470296
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.open.type.hierarchy",1331739473312
