what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773407703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773407765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773412843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773413812
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331773418062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773421000
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331773421000
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331773430750
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331773510937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773517734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773524421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773524484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773527343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773528062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331773529781
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331773535843
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331773538796
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331773548625
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331773577562
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1331773592843
