what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781768812
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781779015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781779421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781780218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781785312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781793218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781793515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781793687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781793843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781794015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781794203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781794375
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781795109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781795453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781796265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781799718
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331781809515
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331781810062
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1331781812546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781813390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781822156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781824125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781826578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781831937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781833125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781846531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781848171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781859218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781860968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781861031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781863984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781864750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781871015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781875296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331781882390
