what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688526687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688550562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688583281
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331688589234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688597734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688601328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688601390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688604421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688605468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688609093
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331688615609
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331688618468
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331688628406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688638875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688645312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688651437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688660406
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331688675921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1331688681015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688683812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688685640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688685703
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331688696234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688699218
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331688699218
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331688709046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688717734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688720953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688724984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688738875
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331688761187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688768781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688812593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688812765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688815828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688815875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688822593
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331688823750
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331688826828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331688827828
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331688836671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331689497875
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331689501031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331689558046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331689560765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331689560812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331689563953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331689565000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331689566703
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331689574140
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331689577187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331689586468
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331689587093
