what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1331820027250
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1331820036984
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1331820037000
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1331820037078
activated,perspective,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui.debugPerspective",1331820037125
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331820037140
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1331820037312
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331820037375
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1331820040609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331820041234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331820042203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331820046109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331820047062
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331820060437
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1331820065125
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1331820074062
error,log,,,"Internal Error",1331820074109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331820084890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331820084953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331820085000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331820087203
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1331820087234
activated,perspective,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui.cPerspective",1331820090093
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1331820090109
closed,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1331820090140
